zip,county_fips,county_name
90501,06037,Los Angeles
90502,06037,Los Angeles
90503,06037,Los Angeles
90504,06037,Los Angeles
90505,06037,Los Angeles
90601,06037,Los Angeles
90602,06037,Los Angeles
90603,06037,Los Angeles
90604,06037,Los Angeles
90605,06037,Los Angeles
90606,06037,Los Angeles
90638,06037,Los Angeles
90640,06037,Los Angeles
90650,06037,Los Angeles
90660,06037,Los Angeles
90670,06037,Los Angeles
90701,06037,Los Angeles
90703,06037,Los Angeles
90704,06037,Los Angeles
90706,06037,Los Angeles
90710,06037,Los Angeles
90712,06037,Los Angeles
90713,06037,Los Angeles
90715,06037,Los Angeles
90716,06037,Los Angeles
90717,06037,Los Angeles
90723,06037,Los Angeles
90731,06037,Los Angeles
90732,06037,Los Angeles
90744,06037,Los Angeles
90745,06037,Los Angeles
90746,06037,Los Angeles
90755,06037,Los Angeles
90802,06037,Los Angeles
90803,06037,Los Angeles
90804,06037,Los Angeles
90805,06037,Los Angeles
90806,06037,Los Angeles
90807,06037,Los Angeles
90808,06037,Los Angeles
90810,06037,Los Angeles
90813,06037,Los Angeles
90814,06037,Los Angeles
90815,06037,Los Angeles
90822,06037,Los Angeles
91001,06037,Los Angeles
91006,06037,Los Angeles
91007,06037,Los Angeles
91008,06037,Los Angeles
91010,06037,Los Angeles
91011,06037,Los Angeles
91016,06037,Los Angeles
91020,06037,Los Angeles
91024,06037,Los Angeles
91030,06037,Los Angeles
91040,06037,Los Angeles
91042,06037,Los Angeles
91101,06037,Los Angeles
91103,06037,Los Angeles
91104,06037,Los Angeles
91105,06037,Los Angeles
91106,06037,Los Angeles
91107,06037,Los Angeles
91108,06037,Los Angeles
91201,06037,Los Angeles
91202,06037,Los Angeles
91203,06037,Los Angeles
91204,06037,Los Angeles
91205,06037,Los Angeles
91206,06037,Los Angeles
91207,06037,Los Angeles
91208,06037,Los Angeles
91210,06037,Los Angeles
91214,06037,Los Angeles
91301,06037,Los Angeles
91302,06037,Los Angeles
91303,06037,Los Angeles
91304,06037,Los Angeles
91306,06037,Los Angeles
91307,06037,Los Angeles
91311,06037,Los Angeles
91316,06037,Los Angeles
91321,06037,Los Angeles
91324,06037,Los Angeles
91325,06037,Los Angeles
91326,06037,Los Angeles
91331,06037,Los Angeles
91335,06037,Los Angeles
91340,06037,Los Angeles
91342,06037,Los Angeles
91343,06037,Los Angeles
91344,06037,Los Angeles
91345,06037,Los Angeles
91350,06037,Los Angeles
91351,06037,Los Angeles
91352,06037,Los Angeles
91354,06037,Los Angeles
91355,06037,Los Angeles
91356,06037,Los Angeles
91361,06037,Los Angeles
91364,06037,Los Angeles
91367,06037,Los Angeles
91381,06037,Los Angeles
91384,06037,Los Angeles
91387,06037,Los Angeles
91390,06037,Los Angeles
91401,06037,Los Angeles
91402,06037,Los Angeles
91403,06037,Los Angeles
91405,06037,Los Angeles
91406,06037,Los Angeles
91411,06037,Los Angeles
91423,06037,Los Angeles
91436,06037,Los Angeles
91501,06037,Los Angeles
91502,06037,Los Angeles
91504,06037,Los Angeles
91505,06037,Los Angeles
91506,06037,Los Angeles
91601,06037,Los Angeles
91602,06037,Los Angeles
91604,06037,Los Angeles
91605,06037,Los Angeles
91606,06037,Los Angeles
91607,06037,Los Angeles
91608,06037,Los Angeles
91702,06037,Los Angeles
91706,06037,Los Angeles
91711,06037,Los Angeles
91722,06037,Los Angeles
91723,06037,Los Angeles
91724,06037,Los Angeles
91731,06037,Los Angeles
91732,06037,Los Angeles
91733,06037,Los Angeles
91740,06037,Los Angeles
91741,06037,Los Angeles
91744,06037,Los Angeles
91745,06037,Los Angeles
91746,06037,Los Angeles
91748,06037,Los Angeles
91750,06037,Los Angeles
91754,06037,Los Angeles
91755,06037,Los Angeles
91765,06037,Los Angeles
91766,06037,Los Angeles
91767,06037,Los Angeles
91768,06037,Los Angeles
91770,06037,Los Angeles
91773,06037,Los Angeles
91775,06037,Los Angeles
91776,06037,Los Angeles
91780,06037,Los Angeles
91789,06037,Los Angeles
91790,06037,Los Angeles
91791,06037,Los Angeles
91792,06037,Los Angeles
91801,06037,Los Angeles
91803,06037,Los Angeles
93510,06037,Los Angeles
93532,06037,Los Angeles
93534,06037,Los Angeles
93535,06037,Los Angeles
93536,06037,Los Angeles
93543,06037,Los Angeles
93544,06037,Los Angeles
93550,06037,Los Angeles
93551,06037,Los Angeles
93552,06037,Los Angeles
93553,06037,Los Angeles
93591,06037,Los Angeles
